USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 225780  8212 ?        Ss   5月17   0:09 /sbin/init splash
root        253  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_16]
root        254  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_17]
root        255  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_17]
root        256  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_18]
root        257  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_18]
root        258  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_19]
root        259  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_19]
root        260  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_20]
root        261  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_20]
root        262  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_21]
root        263  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_21]
root        264  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_22]
root        265  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_22]
root        266  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_23]
root        267  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_23]
root        268  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_24]
root        269  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_24]
root        270  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_25]
root        271  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_25]
root        272  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_26]
root        273  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_26]
root        274  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_27]
root        275  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_27]
root        276  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_28]
root        277  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_28]
root        278  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_29]
root        279  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_29]
root        280  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_30]
root        281  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_30]
root        282  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_31]
root        283  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_31]
root        284  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_32]
root        285  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_32]
root        313  0.0  0.0      0     0 ?        I<   5月17   0:00 [ttm_swap]
root        314  0.0  0.0      0     0 ?        S    5月17   0:05 [irq/16-vmwgfx]
root        322  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/4:1H]
root        324  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/3:1H]
root        325  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/2:1H]
root        326  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/7:1H]
root        333  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/1:1H]
root        362  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/6:1H]
root        365  0.0  0.0      0     0 ?        S    5月17   0:02 [jbd2/sda1-8]
root        366  0.0  0.0      0     0 ?        I<   5月17   0:00 [ext4-rsv-conver]
root        380  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/0:1H]
root        404  0.0  0.3 111812 13056 ?        S<s  5月17   0:04 /lib/systemd/systemd-journald
root        411  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/5:1H]
root        423  0.0  0.1  49976  4540 ?        Ss   5月17   0:00 /lib/systemd/systemd-udevd
root        444  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop0]
root        445  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop1]
root        459  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop2]
root        460  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop3]
root        472  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop4]
root        473  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop5]
root        474  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop6]
root        480  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop7]
root        483  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop8]
root        484  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop9]
root        485  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop10]
root        486  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop11]
root        487  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop12]
root        488  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop13]
root        489  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop14]
root        490  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop15]
root        491  0.0  0.0      0     0 ?        S<   5月17   0:00 [loop16]
root        929  0.0  0.0      0     0 ?        S    5月17   0:01 [jbd2/sda7-8]
root        930  0.0  0.0      0     0 ?        I<   5月17   0:00 [ext4-rsv-conver]
root        934  0.0  0.0      0     0 ?        S    5月17   0:00 [jbd2/sda6-8]
root        935  0.0  0.0      0     0 ?        I<   5月17   0:00 [ext4-rsv-conver]
root        937  0.0  0.0      0     0 ?        S    5月17   0:05 [jbd2/sda5-8]
root        938  0.0  0.0      0     0 ?        I<   5月17   0:00 [ext4-rsv-conver]
systemd+    958  0.0  0.1  71732  6080 ?        Ss   5月17   0:06 /lib/systemd/systemd-resolved
systemd+    960  0.0  0.0 146092  2124 ?        Ssl  5月17   0:00 /lib/systemd/systemd-timesyncd
avahi      1062  0.0  0.0  47256  2932 ?        Ss   5月17   0:02 avahi-daemon: running [gm.local]
root       1063  0.0  0.0 110512  3200 ?        Ssl  5月17   0:10 /usr/sbin/irqbalance --foreground
root       1065  0.0  0.1  70700  5080 ?        Ss   5月17   0:01 /lib/systemd/systemd-logind
root       1068  0.0  0.0  38428  3052 ?        Ss   5月17   0:00 /usr/sbin/cron -f
root       1071  0.0  0.1 427252  5660 ?        Ssl  5月17   0:00 /usr/sbin/ModemManager
root       1080  0.0  0.0   4552   660 ?        Ss   5月17   0:04 /usr/sbin/acpid
avahi      1091  0.0  0.0  47076    64 ?        S    5月17   0:00 avahi-daemon: chroot helper
root       1106  0.0  0.3 999708 14488 ?        Ssl  5月17   0:10 /usr/lib/snapd/snapd
syslog     1109  0.0  0.0 263036  3016 ?        Ssl  5月17   0:00 /usr/sbin/rsyslogd -n
root       1117  0.0  0.2 177624 10200 ?        Ssl  5月17   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher
root       1126  0.0  0.2 308884  8468 ?        Ssl  5月17   0:01 /usr/lib/accountsservice/accounts-daemon
root       1133  0.0  0.2 186948  8100 ?        Ssl  5月17   0:13 /usr/sbin/thermald --no-daemon --dbus-enable
root       1138  0.0  0.0  36500  3592 ?        Ss   5月17   0:00 /usr/lib/bluetooth/bluetoothd
root       1149  0.0  0.2 518108  9852 ?        Ssl  5月17   0:00 /usr/lib/udisks2/udisksd
message+   1150  0.0  0.1  51780  5604 ?        Ss   5月17   0:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       1199  0.0  0.0  44752  3844 ?        Ss   5月17   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       1200  0.0  0.4 582748 16524 ?        Ssl  5月17   0:05 /usr/sbin/NetworkManager --no-daemon
root       1213  0.0  0.2 322012 11580 ?        Ssl  5月17   0:01 /usr/lib/policykit-1/polkitd --no-debug
root       1316  0.0  0.1  72296  5664 ?        Ss   5月17   0:00 /usr/sbin/sshd -D
root       1337  0.0  0.1 308292  7272 ?        Ssl  5月17   0:00 /usr/sbin/gdm3
mysql      1360  0.0  4.2 1381708 172256 ?      Sl   5月17   1:07 /usr/sbin/mysqld --daemonize --pid-file=/var/run/mysqld/mysqld.pid
root       1361  0.0  0.1 261768  7716 ?        Sl   5月17   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm        1387  0.0  0.1  77008  6884 ?        Ss   5月17   0:00 /lib/systemd/systemd --user
gdm        1388  0.0  0.0 114160  1368 ?        S    5月17   0:00 (sd-pam)
gdm        1404  0.0  0.1 197908  5492 tty1     Ssl+ 5月17   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        1409  0.0  0.1  50244  4352 ?        Ss   5月17   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm        1411  0.0  0.3 567192 14184 tty1     Sl+  5月17   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm        1444  0.0  2.5 3788116 102396 tty1   Sl+  5月17   0:38 /usr/bin/gnome-shell
root       1508  0.0  0.1 322344  8016 ?        Ssl  5月17   0:00 /usr/lib/upower/upowerd
gdm        1605  0.8  0.5 848332 23548 tty1     Sl+  5月17   9:40 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm        1643  0.0  0.1 365612  7948 ?        Ssl  5月17   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm        1661  0.0  0.0  49928  3516 ?        S    5月17   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm        1663  0.0  0.1 220760  5704 ?        Sl   5月17   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root       1665  0.0  0.0 193076   624 ?        Ssl  5月17   0:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
gdm        1686  0.0  0.2 1153488 9216 ?        Ssl  5月17   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit      1687  0.0  0.0 183504  2912 ?        SNsl 5月17   0:01 /usr/lib/rtkit/rtkit-daemon
root       1692  0.1  0.2 174124  8288 ?        Sl   5月17   1:29 /usr/sbin/vmtoolsd
root       1712  0.0  0.2  72248  8900 ?        S    5月17   0:00 /usr/lib/vmware-vgauth/VGAuthService -s
root       1761  0.0  0.1 511056  5832 ?        Sl   5月17   0:50 //usr/lib/vmware-caf/pme/bin/ManagementAgentHost
